Code,Student
XY1211,902800
XY1211,902799
XY1211,902798
XY1211,902797
XY1211,902796
XY1211,902795
XY1211,902794
XY1211,902793
XY1211,902792
XY1211,902791
XY1211,902790
XY1211,902789
XY1211,902788
XY1211,902787
XY1211,902786
XY1211,902785
XY1211,902784
XY1211,902783
XY1211,902782
XY1211,902781
XY1211,902780
XY1211,902779
XY1211,902778
XY1211,902777
XY1211,902776
XY1211,902775
XY1211,902774
XY1211,902773
XY1211,902772
XY1211,902771
XY1211,902770
XY1211,902769
XY1211,902768
XY1211,902767
XY1211,902766
XY1211,902765
XY1211,902764
XY1211,902763
XY1211,902762
XY1211,902761
XY1211,902760
XY1211,902759
XY1211,902758
XY1211,902757
XY1211,902756
XY1211,902755
XY1211,902754
XY1211,902753
XY1211,902752
XY1211,902751
XY1211,902750
XY1211,902749
XY1211,902748
XY1211,902747
XY1211,902746
XY1211,902745
XY1211,902744
XY1211,902743
XY1211,902742
XY1211,902741
XY1211,902740
XY1211,902739
XY1211,902738
XY1211,902737
XY1211,902736
XY1211,902735
XY1211,902734
XY1211,902733
XY1211,902732
XY1211,902731
XY1211,902730
XY1211,902729
XY1211,902728
XY1211,902727
XY1211,902726
XY1211,902725
XY1211,902724
XY1211,902723
XY1211,902722
XY1211,902721
XY1211,902720
XY1211,902719
XY1211,902718
XY1211,902717
XY1211,902716
XY1211,902715
XY1211,902714
XY1211,902713
XY1211,902712
XY1211,902711
XY1211,902710
XY1211,902709
XY1211,902708
XY1211,902707
XY1211,902706
XY1211,902705
XY1211,902704
XY1211,902703
XY1211,902702
XY1211,902701
XY1211,902700
XY1211,902699
XY1211,902698
XY1211,902697
XY1211,902696
XY1211,902695
XY1211,902694
XY1211,902693
XY1211,902692
XY1211,902691
XY1211,902690
XY1211,902689
XY1211,902688
XY1211,902687
XY1211,902686
XY1211,902685
XY1211,902684
XY1211,902683
XY1211,902682
XY1211,902681
XY1211,902680
XY1211,902679
XY1211,902678
XY1211,902677
XY1211,902676
XY1211,902675
XY1211,902674
XY1211,902673
XY1211,902672
XY1211,902671
XY1211,902670
XY1211,902669
XY1211,902668
XY1211,902667
XY1211,902666
XY1211,902665
XY1211,902664
XY1211,902663
XY1211,902662
XY1211,902661
XY1211,902660
XY1211,902659
XY1211,902658
XY1211,902657
XY1211,902656
XY1211,902655
XY1211,902654
XY1211,902653
XY1211,902652
XY1211,902651
XY1211,902650
XY1211,902649
XY1211,902648
XY1211,902647
XY1211,902646
XY1211,902645
XY1211,902644
XY1211,902643
XY1211,902642
XY1211,902641
XY1211,902640
XY1211,902639
XY1211,902638
XY1211,902637
XY1211,902636
XY1211,902635
XY1211,902634
XY1211,902633
XY1211,902632
XY1211,902631
XY1211,902630
XY1211,902629
XY1211,902628
XY1211,902627
XY1211,902626
XY1211,902625
XY1211,902624
XY1211,902623
XY1211,902622
XY1211,902621
XY1211,902620
XY1211,902619
XY1211,902618
XY1211,902617
XY1211,902616
XY1211,902615
XY1211,902614
XY1211,902613
XY1211,902612
XY1211,902611
XY1211,902610
XY1211,902609
XY1211,902608
XY1211,902607
XY1211,902606
XY1211,902605
XY1211,902604
XY1211,902603
XY1211,902602
XY1211,902601
XY1211,902600
XY1211,902599
XY1211,902598
XY1211,902597
XY1211,902596
XY1211,902595
XY1211,902594
XY1211,902593
XY1211,902592
XY1211,902591
XY1211,902590
XY1211,902589
XY1211,902588
XY1211,902587
XY1211,902586
XY1211,902585
XY1211,902584
XY1211,902583
XY1211,902582
XY1211,902581
XY1211,902580
XY1211,902579
XY1211,902578
XY1211,902577
XY1211,902576
XY1211,902575
XY1211,902574
XY1211,902573
XY1211,902572
XY1211,902571
XY1211,902570
XY1211,902569
XY1211,902568
XY1211,902567
XY1211,902566
XY1211,902565
XY1211,902564
XY1211,902563
XY1211,902562
XY1211,902561
XY1211,902560
XY1211,902559
XY1211,902558
XY1211,902557
XY1211,902556
XY1211,902555
XY1211,902554
XY1211,902553
XY1211,902552
XY1211,902551
XY1211,902550
XY1211,902549
XY1211,902548
XY1211,902547
XY1211,902546
XY1211,902545
XY1211,902544
XY1211,902543
XY1211,902542
XY1211,902541
XY1211,902540
XY1211,902539
XY1211,902538
XY1211,902537
XY1211,902536
XY1211,902535
XY1211,902534
XY1211,902533
XY1211,902532
XY1211,902531
XY1211,902530
XY1211,902529
XY1211,902528
XY1211,902527
XY1211,902526
XY1211,902525
XY1211,902524
XY1211,902523
XY1211,902522
XY1211,902521
XY1211,902520
XY1211,902519
XY1211,902518
XY1211,902517
XY1211,902516
XY1211,902515
XY1211,902514
XY1211,902513
XY1211,902512
XY1211,902511
XY1211,902510
XY1211,902509
XY1211,902508
XY1211,902507
XY1211,902506
XY1211,902505
XY1211,902504
XY1211,902503
XY1211,902502
XY1211,902501
XY1211,902500
XY1211,902499
XY1211,902498
XY1211,902497
XY1211,902496
XY1211,902495
XY1211,902494
XY1211,902493
XY1211,902492
XY1211,902491
XY1211,902490
XY1211,902489
XY1211,902488
XY1211,902487
XY1211,902486
XY1211,902485
XY1211,902484
XY1211,902483
XY1211,902482
XY1211,902481
XY1211,902480
XY1211,902479
XY1211,902478
XY1211,902477
XY1211,902476
XY1211,902475
XY1211,902474
XY1211,902473
XY1211,902472
XY1211,902471
XY1211,902470
XY1211,902469
XY1211,902468
XY1211,902467
XY1211,902466
XY1211,902465
XY1211,902464
XY1211,902463
XY1211,902462
XY1211,902461
XY1211,902460
XY1211,902459
XY1211,902458
XY1211,902457
XY1211,902456
XY1211,902455
XY1211,902454
XY1211,902453
XY1211,902452
XY1211,902451
XY1211,902450
XY1211,902449
XY1211,902448
XY1211,902447
XY1211,902446
XY1211,902445
XY1211,902444
XY1211,902443
XY1211,902442
XY1211,902441
XY1211,902440
XY1211,902439
XY1211,902438
XY1211,902437
XY1211,902436
XY1211,902435
XY1211,902434
XY1211,902433
XY1211,902432
XY1211,902431
XY1211,902430
XY1211,902429
XY1211,902428
XY1211,902427
XY1211,902426
XY1211,902425
XY1211,902424
XY1211,902423
XY1211,902422
XY1211,902421
XY1211,902420
XY1211,902419
XY1211,902418
XY1211,902417
XY1211,902416
XY1211,902415
XY1211,902414
XY1211,902413
XY1211,902412
XY1211,902411
XY1211,902410
XY1211,902409
XY1211,902408
XY1211,902407
XY1211,902406
XY1211,902405
XY1211,902404
XY1211,902403
XY1211,902402
XY1211,902401
XY1211,902400
XY1211,902399
XY1211,902398
XY1211,902397
XY1211,902396
XY1211,902395
XY1211,902394
XY1211,902393
XY1211,902392
XY1211,902391
XY1211,902390
XY1211,902389
XY1211,902388
XY1211,902387
XY1211,902386
XY1211,902385
XY1211,902384
XY1211,902383
XY1211,902382
XY1211,902381
XY1211,902380
XY1211,902379
XY1211,902378
XY1211,902377
XY1211,902376
XY1211,902375
XY1211,902374
XY1211,902373
XY1211,902372
XY1211,902371
XY1211,902370
XY1211,902369
XY1211,902368
XY1211,902367
XY1211,902366
XY1211,902365
XY1211,902364
XY1211,902363
XY1211,902362
XY1211,902361
XY1211,902360
XY1211,902359
XY1211,902358
XY1211,902357
XY1211,902356
XY1211,902355
XY1211,902354
XY1211,902353
XY1211,902352
XY1211,902351
XY1211,902350
XY1211,902349
XY1211,902348
XY1211,902347
XY1211,902346
XY1211,902345
XY1211,902344
XY1211,902343
XY1211,902342
XY1211,902341
XY1211,902340
XY1211,902339
XY1211,902338
XY1211,902337
XY1211,902336
XY1211,902335
XY1211,902334
XY1211,902333
XY1211,902332
XY1211,902331
XY1211,902330
XY1211,902329
XY1211,902328
XY1211,902327
XY1211,902326
XY1211,902325
XY1211,902324
XY1211,902323
XY1211,902322
XY1211,902321
XY1211,902320
XY1211,902319
XY1211,902318
XY1211,902317
XY1211,902316
XY1211,902315
XY1211,902314
XY1211,902313
XY1211,902312
XY1211,902311
